,year,DirectorID,CompanyID
27376,2000,66,3
27377,2000,227,3
27378,2000,264,5
27379,2000,277,3
27380,2000,334,2
27381,2000,397,8
27382,2000,523,1
27383,2000,600,6
27384,2000,611,1
27385,2000,616,1
27386,2000,816,3
27387,2000,890,1
27388,2000,905,3
27390,2000,1032,1
27391,2000,1122,2
27392,2000,1392,4
27393,2000,1564,2
27394,2000,1625,2
27395,2000,1692,4
27396,2000,1704,3
27397,2000,1722,6
27399,2000,1755,1
27400,2000,1764,1
27401,2000,1772,1
27402,2000,1781,4
27403,2000,1782,3
27404,2000,2209,2
27405,2000,2251,6
27406,2000,2310,2
27407,2000,2340,1
27409,2000,2434,2
27411,2000,2548,4
27412,2000,2566,3
27413,2000,2596,2
27414,2000,2754,2
27417,2000,2871,1
27418,2000,3074,1
27419,2000,3097,2
27420,2000,3129,1
27421,2000,3162,2
27422,2000,3182,2
27423,2000,3183,3
27425,2000,3525,2
27426,2000,3673,1
27427,2000,3706,2
27428,2000,3746,1
27429,2000,3873,2
27430,2000,3925,2
27431,2000,4080,8
27432,2000,4083,1
27433,2000,4150,2
27434,2000,4246,1
27435,2000,4334,1
27437,2000,4363,1
27438,2000,4401,3
27439,2000,4408,2
27440,2000,4450,2
27441,2000,4656,2
27442,2000,4716,1
27443,2000,4799,4
27445,2000,5075,2
27446,2000,5098,2
27447,2000,5237,6
27448,2000,5263,5
27449,2000,5273,3
27450,2000,5291,6
27451,2000,5313,5
27452,2000,5480,1
27453,2000,5549,1
27454,2000,5561,1
27457,2000,5623,6
27458,2000,5655,1
27459,2000,5794,4
27460,2000,6024,1
27461,2000,6166,1
27462,2000,6168,5
27464,2000,6189,5
27465,2000,6191,2
27466,2000,6326,1
27467,2000,6370,4
27468,2000,6499,8
27469,2000,6524,8
27470,2000,6578,1
27471,2000,6679,2
27472,2000,6746,4
27474,2000,6845,2
27475,2000,6954,1
27476,2000,6967,2
27478,2000,6986,4
27479,2000,7123,1
27480,2000,7157,1
27481,2000,7432,1
27482,2000,7493,1
27483,2000,7525,5
27484,2000,7537,4
27485,2000,7574,1
27486,2000,7600,4
27487,2000,7635,8
27488,2000,7643,2
27489,2000,7740,3
27490,2000,7759,2
27491,2000,7761,3
27493,2000,7838,2
27494,2000,7964,1
27495,2000,7988,1
27498,2000,8108,1
27499,2000,8137,4
27500,2000,8153,2
27501,2000,8175,2
27502,2000,8180,3
27503,2000,8181,6
27504,2000,8204,2
27505,2000,8207,4
27506,2000,8309,3
27507,2000,8472,4
27508,2000,8479,4
27509,2000,8540,2
27510,2000,8562,2
27511,2000,8747,1
27512,2000,8750,1
27516,2000,8847,2
27517,2000,8895,1
27519,2000,9050,1
27520,2000,9107,2
27521,2000,9113,8
27522,2000,9218,3
27523,2000,9259,4
27525,2000,9434,1
27526,2000,9492,3
27527,2000,9562,2
27528,2000,9593,2
27529,2000,9654,6
27530,2000,9684,1
27531,2000,9704,1
27532,2000,9796,6
27533,2000,9826,5
27534,2000,9900,5
27535,2000,9991,3
27536,2000,10106,1
27538,2000,10241,3
27539,2000,10340,2
27541,2000,10680,1
27542,2000,10720,3
27543,2000,10814,2
27544,2000,10950,2
27545,2000,11003,8
27546,2000,11152,3
27547,2000,11268,1
27548,2000,11269,6
27550,2000,11425,2
27551,2000,11442,5
27553,2000,11523,6
27554,2000,11545,6
27555,2000,11672,6
27556,2000,11735,4
27557,2000,12070,1
27558,2000,12186,4
27559,2000,12190,1
27560,2000,12201,1
27561,2000,12265,1
27562,2000,12318,2
27565,2000,12432,4
27566,2000,12435,3
27567,2000,12499,1
27568,2000,12517,4
27570,2000,12574,1
27571,2000,13087,2
27572,2000,13096,4
27573,2000,13106,2
27574,2000,13108,1
27575,2000,13147,2
27576,2000,13332,6
27577,2000,13413,2
27578,2000,13432,1
27579,2000,13504,3
27580,2000,13744,1
27581,2000,13839,4
27582,2000,13857,2
27583,2000,14170,1
27584,2000,14226,2
27585,2000,14253,2
27586,2000,14328,1
27587,2000,14665,1
27588,2000,14870,2
27589,2000,14886,3
27590,2000,14914,2
27591,2000,14955,1
27592,2000,15021,1
27594,2000,15109,8
27595,2000,15110,8
27597,2000,15343,2
27600,2000,15496,4
27602,2000,15727,1
27603,2000,15734,4
27604,2000,15768,1
27605,2000,15832,2
27607,2000,15909,8
27608,2000,15990,2
27609,2000,16061,3
27610,2000,16086,1
27611,2000,16132,1
27612,2000,16193,4
27613,2000,16375,1
27614,2000,16384,2
27615,2000,16411,1
27616,2000,16434,6
27617,2000,16436,4
27618,2000,16567,3
27619,2000,16590,4
27620,2000,16689,6
27621,2000,16729,4
27622,2000,16794,4
27623,2000,16795,2
27625,2000,16893,1
27626,2000,16941,1
27627,2000,16999,1
27628,2000,17012,1
27629,2000,17032,6
27630,2000,17041,3
27631,2000,17077,5
27633,2000,17207,2
27634,2000,22483,2
27635,2000,22707,1
27637,2000,22956,1
27638,2000,23134,2
27639,2000,23142,3
27640,2000,23187,1
27641,2000,23309,1
27643,2000,23368,2
27644,2000,23392,8
27645,2000,23402,2
27646,2000,23440,1
27647,2000,23476,3
27648,2000,23482,6
27649,2000,23538,3
27650,2000,23621,2
27651,2000,23663,1
27652,2000,24004,2
27653,2000,24097,2
27654,2000,24212,3
27655,2000,24224,1
27656,2000,24392,2
27657,2000,24522,1
27658,2000,24719,1
27660,2000,24722,5
27662,2000,24846,3
27663,2000,24848,1
27664,2000,24849,4
27665,2000,24853,1
27666,2000,24854,8
27668,2000,24857,4
27670,2000,24859,4
27671,2000,24860,4
27672,2000,24863,2
27673,2000,24868,2
27674,2000,24941,1
27675,2000,24985,4
27677,2000,24987,4
27679,2000,25008,1
27685,2000,25109,6
27686,2000,25162,2
27687,2000,25252,2
27688,2000,25268,1
27689,2000,25327,1
27690,2000,25831,4
27691,2000,25834,4
27692,2000,25849,2
27693,2000,25855,6
27694,2000,25998,2
27695,2000,26000,2
27696,2000,26013,2
27697,2000,26036,2
27698,2000,26038,8
27700,2000,26162,2
27702,2000,26166,1
27703,2000,26167,2
27704,2000,26169,1
27705,2000,26180,1
27706,2000,26459,1
27707,2000,26470,4
27708,2000,26649,2
27709,2000,26760,1
27710,2000,26784,3
27711,2000,26883,1
27712,2000,26893,2
27713,2000,26927,1
27714,2000,26929,4
27715,2000,27128,2
27716,2000,27173,2
27717,2000,27185,1
27718,2000,27190,2
27722,2000,27425,1
27723,2000,27468,1
27724,2000,27469,2
27725,2000,27485,6
27726,2000,27496,1
27727,2000,27499,1
27729,2000,27660,1
27730,2000,27777,3
27731,2000,27863,2
27732,2000,28207,6
27733,2000,28518,1
27734,2000,28675,1
27736,2000,29193,1
27738,2000,29808,2
27739,2000,30456,1
27740,2000,30463,4
27741,2000,30508,2
27742,2000,30511,8
27743,2000,30513,2
27744,2000,30514,7
27745,2000,30840,2
27746,2000,30845,2
27747,2000,30853,4
27748,2000,30856,8
27749,2000,30902,4
27751,2000,30908,2
27752,2000,30929,1
27753,2000,30930,3
27754,2000,30943,8
27756,2000,31063,2
27757,2000,31158,2
27758,2000,31192,4
27759,2000,31194,6
27760,2000,31196,6
27762,2000,31203,6
27765,2000,31210,2
27766,2000,31238,1
27767,2000,31268,1
27768,2000,31278,1
27769,2000,31281,4
27770,2000,31288,1
27771,2000,31295,1
27772,2000,31310,2
27773,2000,31364,3
27774,2000,31455,1
27776,2000,31459,4
27777,2000,31460,2
27779,2000,31466,4
27780,2000,31474,3
27781,2000,31476,8
27783,2000,31479,2
27784,2000,31502,3
27785,2000,31504,3
27786,2000,31506,1
27787,2000,31509,1
27788,2000,31513,4
27789,2000,31518,4
27790,2000,31521,1
27791,2000,31538,1
27792,2000,31580,6
27793,2000,31583,2
27794,2000,31584,6
27797,2000,31594,2
27798,2000,31596,2
27799,2000,31606,2
27802,2000,31610,2
27803,2000,31611,1
27804,2000,31621,1
27805,2000,31636,1
27806,2000,31645,2
