,year,DirectorID,CompanyID
82817,2010,139,2
82818,2010,157,1
82820,2010,264,1
82821,2010,357,3
82822,2010,400,2
82823,2010,482,2
82824,2010,600,1
82825,2010,608,1
82826,2010,621,1
82827,2010,816,2
82829,2010,983,1
82830,2010,992,6
82831,2010,1122,2
82832,2010,1163,1
82833,2010,1166,2
82834,2010,1392,3
82835,2010,1704,2
82836,2010,1723,6
82837,2010,1764,1
82838,2010,1772,1
82839,2010,1781,3
82840,2010,2011,1
82841,2010,2070,1
82842,2010,2169,1
82843,2010,2298,1
82845,2010,2443,5
82846,2010,2455,4
82847,2010,2570,1
82848,2010,2615,4
82849,2010,2889,3
82850,2010,3113,2
82851,2010,3162,6
82852,2010,3169,2
82853,2010,3182,5
82854,2010,3255,2
82855,2010,3306,2
82856,2010,3335,2
82857,2010,3420,1
82858,2010,3525,1
82859,2010,3591,2
82860,2010,3620,1
82861,2010,3746,1
82862,2010,3775,1
82863,2010,4080,1
82864,2010,4150,1
82865,2010,4170,1
82866,2010,4343,1
82867,2010,4351,1
82869,2010,4363,1
82870,2010,4401,1
82871,2010,4450,2
82872,2010,4707,1
82873,2010,4860,2
82874,2010,4869,2
82875,2010,4947,4
82876,2010,4974,8
82877,2010,5237,2
82878,2010,5273,2
82879,2010,5286,2
82880,2010,5574,4
82881,2010,5599,2
82882,2010,5622,2
82883,2010,5769,2
82884,2010,6168,2
82886,2010,6499,2
82887,2010,6509,2
82888,2010,6524,2
82889,2010,6588,1
82890,2010,6593,2
82891,2010,6647,1
82892,2010,6746,2
82893,2010,6809,7
82894,2010,6967,3
82895,2010,6984,4
82896,2010,7046,2
82897,2010,7108,8
82898,2010,7157,2
82899,2010,7181,1
82900,2010,7209,6
82901,2010,7250,3
82902,2010,7432,1
82903,2010,7478,2
82904,2010,7537,1
82905,2010,7588,1
82906,2010,7635,1
82907,2010,7702,1
82908,2010,7740,5
82909,2010,7759,1
82910,2010,7801,6
82912,2010,8108,1
82913,2010,8181,8
82914,2010,8309,1
82915,2010,8340,1
82916,2010,8472,4
82917,2010,8479,2
82918,2010,8508,1
82919,2010,8540,6
82920,2010,8562,1
82921,2010,8579,1
82922,2010,8618,5
82923,2010,8728,6
82924,2010,8755,2
82925,2010,8803,1
82926,2010,8827,1
82927,2010,8895,4
82928,2010,9000,2
82929,2010,9105,1
82930,2010,9218,6
82931,2010,9259,1
82932,2010,9267,4
82933,2010,9284,4
82934,2010,9490,4
82935,2010,9607,1
82936,2010,9638,2
82937,2010,9654,2
82938,2010,9684,1
82939,2010,9796,2
82940,2010,9806,1
82941,2010,9826,2
82942,2010,9836,1
82943,2010,9892,1
82944,2010,9900,4
82946,2010,10106,4
82947,2010,10145,3
82948,2010,10151,3
82949,2010,10234,2
82950,2010,10328,3
82951,2010,10437,3
82952,2010,10862,1
82953,2010,11003,3
82954,2010,11076,3
82955,2010,11165,4
82956,2010,11198,4
82957,2010,11269,3
82958,2010,11342,4
82959,2010,11522,2
82960,2010,11523,6
82961,2010,11732,1
82962,2010,11757,1
82963,2010,11916,1
82964,2010,11997,2
82965,2010,12070,4
82966,2010,12186,2
82967,2010,12318,1
82968,2010,12330,2
82970,2010,12435,1
82971,2010,12499,5
82972,2010,12512,1
82973,2010,12517,2
82975,2010,12562,1
82976,2010,12574,1
82977,2010,12605,4
82978,2010,12761,2
82979,2010,12778,4
82980,2010,12809,1
82981,2010,12895,1
82982,2010,12957,4
82983,2010,12978,2
82984,2010,13087,6
82985,2010,13106,4
82986,2010,13116,3
82987,2010,13187,1
82988,2010,13233,1
82989,2010,13247,4
82990,2010,13271,2
82991,2010,13432,2
82992,2010,13474,4
82993,2010,13491,2
82994,2010,13657,1
82995,2010,13839,2
82996,2010,13844,1
82997,2010,13850,1
82998,2010,13874,1
83000,2010,14040,1
83001,2010,14253,1
83002,2010,14322,4
83003,2010,14404,1
83004,2010,14485,2
83005,2010,14583,2
83006,2010,14666,4
83007,2010,14732,5
83008,2010,14755,2
83009,2010,14809,4
83010,2010,14924,4
83011,2010,14927,3
83012,2010,14952,1
83013,2010,15023,2
83014,2010,15068,2
83015,2010,15109,2
83016,2010,15246,1
83017,2010,15449,2
83018,2010,15470,3
83019,2010,15482,2
83020,2010,15515,1
83021,2010,15565,3
83022,2010,15607,6
83023,2010,15670,3
83024,2010,15734,6
83025,2010,15737,2
83026,2010,15749,2
83027,2010,15754,2
83028,2010,15768,6
83029,2010,15832,2
83030,2010,15855,4
83031,2010,15861,2
83032,2010,15867,4
83033,2010,15874,2
83034,2010,15879,3
83035,2010,15997,3
83036,2010,16029,3
83037,2010,16070,1
83038,2010,16132,1
83039,2010,16180,6
83040,2010,16184,1
83041,2010,16188,3
83042,2010,16190,2
83043,2010,16232,1
83044,2010,16317,1
83045,2010,16434,2
83046,2010,16567,2
83047,2010,16660,8
83049,2010,16689,6
83050,2010,16731,3
83051,2010,16739,1
83052,2010,16893,6
83053,2010,16941,4
83054,2010,16968,4
83055,2010,17021,1
83056,2010,17041,4
83057,2010,17065,2
83058,2010,17072,4
83059,2010,17081,2
83060,2010,17090,2
83061,2010,17104,1
83062,2010,17135,4
83063,2010,17152,5
83064,2010,22478,4
83065,2010,22516,1
83066,2010,22705,2
83067,2010,22826,1
83068,2010,22944,2
83069,2010,22951,2
83070,2010,23048,1
83071,2010,23067,1
83072,2010,23364,2
83073,2010,23366,2
83074,2010,23367,4
83075,2010,23368,6
83076,2010,23392,6
83077,2010,23476,1
83078,2010,23482,1
83079,2010,23569,2
83080,2010,23719,1
83081,2010,24003,2
83082,2010,24097,2
83083,2010,24224,4
83084,2010,24332,6
83085,2010,24391,1
83086,2010,24504,1
83087,2010,24652,4
83088,2010,24720,1
83089,2010,24722,1
83090,2010,24726,2
83092,2010,24853,4
83093,2010,24856,4
83095,2010,24859,2
83096,2010,24868,2
83097,2010,24908,3
83098,2010,24941,1
83099,2010,24985,4
83101,2010,25002,2
83102,2010,25008,1
83103,2010,25009,1
83105,2010,25014,6
83107,2010,25017,1
83108,2010,25064,3
83109,2010,25109,1
83110,2010,25157,2
83111,2010,25243,3
83112,2010,25248,1
83113,2010,25598,2
83114,2010,25599,1
83115,2010,25676,2
83116,2010,25698,3
83117,2010,25723,3
83118,2010,25782,2
83120,2010,25834,2
83121,2010,25855,2
83122,2010,25920,1
83123,2010,25930,3
83124,2010,26013,2
83125,2010,26038,1
83126,2010,26070,1
83127,2010,26123,1
83128,2010,26156,4
83129,2010,26162,1
83130,2010,26167,2
83131,2010,26180,2
