DirectorID,year,DirectorName,Age,Gender,Nationality,NetworkSize,MaxMktCap,MaxEmp,num_seats,num_subs,age_sq,age_sc,emp,ns,mkt_cap,nat,subs_year,years_since_95
66,1995,Doctor Max Amstutz,94,M,Swiss,186,11263,16751,1,1,8836,8.836,16.751,1.86,11.263,0,0,0
66,1996,Doctor Max Amstutz,94,M,Swiss,186,11263,16751,1,1,8836,8.836,16.751,1.86,11.263,0,0,1
66,1997,Doctor Max Amstutz,94,M,Swiss,186,11263,16751,1,1,8836,8.836,16.751,1.86,11.263,0,0,2
66,1998,Doctor Max Amstutz,94,M,Swiss,186,11263,16751,1,1,8836,8.836,16.751,1.86,11.263,0,0,3
334,2000,Jorma Ollila,72,M,Finnish,2757,49118,183000,1,1,5184,5.184,183,27.57,49.118,0,0,5
334,2001,Jorma Ollila,72,M,Finnish,2757,49118,183000,1,1,5184,5.184,183,27.57,49.118,0,0,6
334,2002,Jorma Ollila,72,M,Finnish,2757,49118,183000,1,1,5184,5.184,183,27.57,49.118,0,0,7
334,2003,Jorma Ollila,72,M,Finnish,2757,49118,183000,1,1,5184,5.184,183,27.57,49.118,0,0,8
334,2004,Jorma Ollila,72,M,Finnish,2757,49118,183000,1,1,5184,5.184,183,27.57,49.118,0,0,9
334,2005,Jorma Ollila,72,M,Finnish,2757,49118,183000,1,1,5184,5.184,183,27.57,49.118,0,0,10
356,2011,Dinesh Paliwal,65,M,American,3362,45086,102000,1,2,4225,4.225,102,33.62,45.086,1,1,16
356,2012,Dinesh Paliwal,65,M,American,3362,45086,102000,2,3,4225,4.225,102,33.62,45.086,1,1,17
356,2013,Dinesh Paliwal,65,M,American,3362,139600,32200,3,3,4225,4.225,32.2,33.62,139.6,1,0,18
356,2016,Dinesh Paliwal,65,M,American,3362,62470,67000,1,1,4225,4.225,67,33.62,62.47,1,0,21
356,2017,Dinesh Paliwal,65,M,American,3362,62470,67000,1,1,4225,4.225,67,33.62,62.47,1,0,22
